id,author_name,country
2140,Naida Padberg,Tirana
2141,Alfred Sawayn,New Delhi
2142,Forest Howell,Hanoi
2143,Sheryl Keeling,Kabul
2144,Levi Rosenbaum,Port Moresby
2145,Melony Witting,Buenos Aires
2146,Nola Schaefer,Dili
2147,Emanuel Feeney,Monrovia
2148,Chantay Hermiston,Quito
2149,Mertie Gerlach,Montevideo
2150,Raymond Johns,Tehran
2151,Isidro Russel,Port Louis
2152,Carol Erdman,Copenhagen
2153,Caryn Treutel,Bucharest
2154,Vina Rogahn,Dhaka
2155,Garfield Schaefer,London
2156,Adan Steuber,Kampala
2157,Derick Effertz,Washington D.C.
2158,Ardelle Terry,Ashgabat
2159,Harmony McClure,Tehran
2160,Reynaldo Yost,Malabo
2161,Caleb Collier,San Marino
2162,Maribel Carroll,Bishkek
2163,Quinton Hyatt,Asmara
2164,Effie Pollich,Malabo
2165,Signe Rempel,Podgorica
2166,Paulita Effertz,Sao Tome
2167,Sue Bashirian,Mexico City
2168,Darrin Feil,Port Moresby
2169,Rolanda Dach,Budapest
2170,Troy Lueilwitz,Tashkent
2171,Lisbeth Gulgowski,Dublin
2172,Duncan Rodriguez,Freetown
2173,Lisandra Morissette,Algiers
2174,Federico Nader,Male
2175,Breanna Senger,Dar es Salaam
2176,Janis Fritsch,Buenos Aires
2177,Armanda Beer,Doha
2178,Rodolfo Mitchell,London
2179,Roman Schuppe,Mexico City
2180,Melvin Kiehn,Kuala Lumpur
2181,Cindie Koepp,Bucharest
2182,Shaun Schmidt,Lisbon
2183,Ivelisse Howe,Bamako
2184,Mario McLaughlin,Amman
2185,Dennis Cartwright,Managua
2186,Stacy Toy,Vilnius
2187,Maximo Jakubowski,N'Djamena
2188,Harland Kreiger,Tunis
2189,Brock Abshire,Bishkek
2190,Jenny Veum,Windhoek
2191,Chia Veum,Nouakchott
2192,Cristopher Marvin,Santo Domingo
2193,Carmina Becker,Kigali
2194,Lyndsay Schuppe,Malabo
2195,Freddy Corkery,Windhoek
2196,Maurice Mueller,Mexico City
2197,Christian Will,Damascus
2198,Gerry Adams,Panama City
2199,Julio Haley,Tegucigalpa
2200,Hye Schultz,Wellington
2201,Colton Haag,Montevideo
2202,Louis Stamm,Lome
2203,Erma Littel,Monrovia
2204,Mark Ziemann,Nuku'alofa
2205,Altha Stanton,Port Louis
2206,Cynthia Morissette,Kuwait City
2207,Kyung Kling,Managua
2208,Santa Witting,Lome
2209,Jefferey Hermiston,Maputo
2210,Randolph Kertzmann,Valletta
2211,Penny Barton,Monaco
2212,Tenesha Weber,Asmara
2213,Gail Mertz,Kampala
2214,Garrett Hessel,Beirut
2215,Sherell Nienow,Georgetown
2216,Queen Grimes,Chisinau
2217,Stevie Upton,Baku
2218,Jeanice Bradtke,Dushanbe
2219,Deb Ward,Port Moresby
2220,Dylan Kuhlman,Skopje
2221,Laverne Leffler,Baku
2222,Fred Hermiston,Harare
2223,Burton Abshire,Washington D.C.
2224,Lyle Nicolas,Suva
2225,Karri Gerhold,Tashkent
2226,Catrina Dickens,San Jose
2227,Quinn Emmerich,Kinshasa
2228,Deshawn Jones,Yerevan
2229,Jody Kirlin,Mogadishu
2230,Jarod Cartwright,Doha
2231,Susan MacGyver,Paramaribo
2232,Tosha Beahan,Mexico City
2233,Librada Bernier,Helsinki
2234,Deshawn Haley,Buenos Aires
2235,Kenneth Wuckert,Bratislava
2236,Kari Hermiston,Lilongwe
2237,Sachiko Erdman,Sanaa
2238,Bridgette Gleason,Riyadh
2239,Nguyet Schinner,Nassau
2240,Augustine Hayes,London
2241,Cristi Bogisich,Tirana
2242,Jayme Gutmann,Panama City
2243,Sebastian Ankunding,Jerusalem
2244,Geraldo Considine,Athens
2245,Jesse Jenkins,Baghdad
2246,Mariann Schneider,Windhoek
2247,Edison Pollich,Melekeok
2248,Juan Kerluke,Bucharest
2249,Allene Conroy,Honiara
2250,Vera Moore,Vientiane
2251,Keiko Kemmer,Kuwait City
2252,Mauro Kris,Tbilisi
2253,Joaquin Paucek,Vatican City
2254,Darrell McGlynn,Tripoli
2255,Eden Heaney,Melekeok
2256,Valentin Lindgren,Vaduz
2257,Shelton Homenick,Pristina
2258,Lane Predovic,Apia
2259,Oren Erdman,Monaco
2260,Lindsey Zemlak,Banjul
2261,Magdalene Spencer,London
2262,Larry Bernhard,Port-of-Spain
2263,Marcellus Lynch,Kingston
2264,Tamekia Gulgowski,Bujumbura
2265,Bennie Buckridge,Andorra la Vella
2266,Andreas Johns,Asmara
2267,Emerson Hagenes,Bissau
2268,Bess Cummerata,Lisbon
2269,Mertie Koelpin,Tarawa Atoll
2270,Farrah Kuhlman,Niamey
2271,Emanuel Jakubowski,Castries
2272,Damien Hyatt,Vientiane
2273,Sandy Dicki,Jerusalem
2274,Coleman Morar,Vaiaku village
2275,Yahaira Franecki,Bratislava
2276,Ashlea Anderson,Moscow
2277,Shon Leannon,Moscow
2278,Piper O'Kon,Vaiaku village
2279,Arianne Mertz,Kinshasa
2280,Ira Feest,Berlin
2281,Samual Towne,Male
2282,Jarod Huels,Caracas
2283,Alonzo Dicki,Caracas
2284,Jeane Renner,Colombo
2285,Thad Kerluke,Damascus
2286,Starr Maggio,Wellington
2287,Larisa Renner,Saint George's
2288,Noelle Ortiz,Warsaw
2289,Wilbur Jacobson,Abuja
2290,Bryant D'Amore,Algiers
2291,Waldo Thompson,Libreville
2292,Gwyn Buckridge,Kampala
2293,Donovan O'Kon,Kuala Lumpur
2294,Leigh Funk,Monaco
2295,Sarita Erdman,Budapest
2296,Angel Lehner,Zagreb
2297,Neville Gislason,Podgorica
2298,Ozie Koss,Andorra la Vella
2299,Sol Breitenberg,Guatemala City
2300,Everette Rutherford,Managua
2301,Kandace Cassin,Djibouti
2302,Marcellus Swift,Monaco
2303,Tobias Senger,Malabo
2304,Antonia Olson,Caracas
2305,Johnie Rodriguez,Tehran
2306,Carlyn Stokes,Kyiv
2307,Gene Rippin,Kigali
2308,Betty Jacobs,Banjul
2309,Drew Blanda,Tripoli
2310,Valrie Volkman,Sao Tome
2311,Frankie Yundt,Addis Ababa
2312,Daria Koelpin,Algiers
2313,Bernard Schumm,Athens
2314,Amado Herzog,Mbabane
2315,Jorge Wisoky,Damascus
2316,Sung Berge,Santiago
2317,Angelia VonRueden,Ouagadougou
2318,Devin Lynch,Tehran
2319,Broderick Pfannerstill,Tbilisi
2320,Adela Jacobs,Managua
2321,Monserrate Sanford,Ashgabat
2322,Ayesha Ullrich,San Jose
2323,Dominique Cole,Stockholm
2324,Cortez Prosacco,Warsaw
2325,Gerri Mills,Bratislava
2326,Camellia Hilll,Montevideo
2327,Emmitt Weissnat,Valletta
2328,Merrill Maggio,Managua
2329,Margarete Gibson,Lisbon
2330,Kenny Batz,Vatican City
2331,Chang Ankunding,Washington D.C.
2332,Duane Nicolas,Montevideo
2333,Warren Bartoletti,Riyadh
2334,Zada Bergstrom,Male
2335,Hiram Tillman,Andorra la Vella
2336,Leonida Donnelly,Washington D.C.
2337,Maxwell Mayer,Guatemala City
2338,Youlanda Marvin,Praia Bangui
2339,Drucilla Schamberger,Paris
2340,Bettyann Stoltenberg,Dar es Salaam
2341,Humberto Rohan,Manama
2342,Sona Kuhlman,Tallinn
2343,Josiah Vandervort,Jerusalem
2344,Mao Doyle,Kabul
2345,Rich Lebsack,Valletta
2346,Rey Torphy,Luxembourg
2347,Kendrick Ernser,Vatican City
2348,Rubye Heller,Athens
2349,Misti Cole,London
2350,Efren Schiller,Rabat
2351,Micaela Shanahan,Freetown
2352,Jayna Bailey,Nassau
2353,Krystyna McGlynn,Dublin
2354,Arlen Lubowitz,Islamabad
2355,Julissa Hermiston,Saint John's
2356,Gilbert Johnston,Ottawa
2357,Cyndi Beer,Luanda
2358,Emmanuel Morar,Sanaa
2359,Jamie Bradtke,Podgorica
2360,Oscar Abbott,Harare
2361,Gregorio McLaughlin,Ljubljana
2362,Jacque Ankunding,Honiara
2363,Ernest Hirthe,Islamabad
2364,Mario Hermann,Yaounde
2365,Janene Johnson,Asuncion
2366,Stasia Willms,Colombo
2367,Corliss Kihn,Pyongyang
2368,Lilia Paucek,Harare
2369,Orlando Senger,Belmopan
2370,Dagny Tromp,Valletta
2371,Roslyn Metz,Nicosia
2372,Dallas Ziemann,Prince
2373,Magnolia Pfannerstill,Warsaw
2374,Ena Schulist,Bern
2375,Joan Maggio,Bucharest
2376,Donnetta Simonis,Antananarivo
2377,Trenton Nicolas,Luanda
2378,Robena Emard,Skopje
2379,Jenine Kohler,Castries
2380,Tari O'Conner,Dar es Salaam
2381,Alfredo Kulas,Asuncion
2382,Phung Ferry,Bern
2383,Vernon Schimmel,Copenhagen
2384,Mina Lakin,Khartoum
2385,Garfield Koelpin,Male
2386,Pilar Flatley,Nuku'alofa
2387,Nicki Botsford,Lisbon
2388,Walter Jerde,Hanoi
2389,Juli Parker,Pristina
2390,Elwood Bradtke,Vaduz
2391,Hannelore O'Keefe,Kigali
2392,Alane Mueller,Skopje
2393,Adria Wehner,Saint George's
2394,Dayle Wilkinson,Paris
2395,Ossie Hudson,Vientiane
2396,Roderick Purdy,Andorra la Vella
2397,Refugio Weimann,Bridgetown
2398,Pearline Dooley,Amman
2399,Britt MacGyver,Dili
2400,Gertrud Hills,Vilnius
2401,Gino Stehr,Harare
2402,Roy Quitzon,Skopje
2403,Mickey Pacocha,Prague
2404,Benita Murphy,Abuja
2405,Rene Wiegand,Dublin
2406,Adeline Powlowski,Wellington
2407,Josphine Renner,Monrovia
2408,Erin Jaskolski,Port-of-Spain
2409,Bernie Grimes,Bujumbura
2410,Hobert Senger,Moroni
2411,Margurite Turner,Kuala Lumpur
2412,Else Hessel,Washington D.C.
2413,Annalee Langosh,Yerevan
2414,Lynell Huels,Phnom Penh
2415,Maryanna Gutkowski,Mbabane
2416,Kai Dibbert,Podgorica
2417,Luz Dooley,Seoul
2418,Kareem Casper,Luanda
2419,Bernard Wintheiser,Roseau
2420,Mathilda Hyatt,Valletta
2421,Abraham Baumbach,Wellington
2422,Scott Raynor,Apia
2423,Rusty Rowe,Manila
2424,Kirby Heller,Beirut
2425,Jona Durgan,Porto-Novo
2426,Reggie West,Berlin
2427,Waylon Marvin,Nuku'alofa
2428,Josefa Dickens,Tunis
2429,Clark Huel,Berlin
2430,Bradford Kerluke,Djibouti
2431,Jaye Spencer,Sanaa
2432,Lulu Reichel,Majuro
2433,Keith Watsica,Wellington
2434,Josue Witting,Maseru
2435,Ozzie Jones,Bucharest
2436,Lou Dietrich,Minsk
2437,Deon O'Connell,Tallinn
2438,Tiffany Ebert,Saint John's
2439,Manuel Waelchi,Kampala
2440,Chadwick Hills,Mogadishu
2441,Wendi Upton,Yerevan
2442,Demarcus McDermott,Khartoum
2443,Mervin Armstrong,Nouakchott
2444,Tracy Roberts,Vaiaku village
2445,Estrella Hyatt,Oslo
2446,Royce Shanahan,Warsaw
2447,Bradford Hintz,Athens
2448,Margarita Erdman,Santiago
2449,Leann Trantow,Honiara
2450,Stanford Deckow,Chisinau
2451,Demetra Beatty,Tripoli
2452,Ilse Abshire,Tokyo
2453,Pearlie Thompson,Port-of-Spain
2454,Shanon Zieme,Nicosia
2455,Dalton Wisozk,Melekeok
2456,Ursula Robel,Athens
2457,Kimberlee Leuschke,Bogota
2458,Alise Ondricka,Apia
2459,Bess Kertzmann,Tegucigalpa
2460,Kevin Kihn,Pristina
2461,Manuel Herman,Accra
2462,Prudence Osinski,Ottawa
2463,Dusty Durgan,Bridgetown
2464,Caitlyn Wunsch,Valletta
2465,Abel Abshire,Reykjavik
2466,Tesha Parker,Maputo
2467,Alfreda Jenkins,Bujumbura
2468,Marci Waters,Nouakchott
2469,Rich Weber,Kathmandu
2470,Roger Wiza,Lome
2471,Mary Spinka,Sofia
2472,Sheldon Flatley,Tallinn
2473,Wilber Witting,New Delhi
2474,Duane Ledner,Luanda
2475,Bradly Grant,Suva
2476,Honey Reichel,Tirana
2477,Luis Renner,Vatican City
2478,Clyde Hintz,Manama
2479,Louis Doyle,Port-Vila
2480,Boyce Bauch,San Salvador
2481,Rolando Rippin,Nairobi
2482,Amina Schamberger,Santo Domingo
2483,Nikole Mueller,London
2484,Eun Torp,Baghdad
2485,Jerald Cormier,Sofia
2486,Edgar Reichel,Paris
2487,Inge Adams,San Jose
2488,Solomon Mayert,Tegucigalpa
2489,Milagro Weimann,San Salvador
2490,Hue Ritchie,Asuncion
2491,Man Friesen,Bishkek
2492,Vanetta Stroman,Malabo
2493,Elizebeth Pacocha,Sofia
2494,Ethan Mueller,Tarawa Atoll
2495,Floyd Stracke,Bandar Seri Begawan
2496,Zetta Klocko,Ottawa
2497,Burt Mraz,Pristina
2498,Sammie Haag,Andorra la Vella
2499,Bernadine Schiller,Mexico City
2500,Ezequiel Torphy,Rome
2501,Tommy Bradtke,Montevideo
2502,Donella Corwin,Phnom Penh
2503,Donnell Beatty,Moroni
2504,Kenton Homenick,Rabat
2505,Paulina Langosh,Bujumbura
2506,Ezra Lindgren,Roseau
2507,Arnulfo Ullrich,Tbilisi
2508,Perry Gusikowski,Tripoli
2509,Clemente Crist,Castries
2510,Rosalinda Blick,Seoul
2511,Nidia Cummings,Beijing
2512,Andre Wolff,Jakarta
2513,Aurelio Jenkins,Santiago
2514,Lila Schumm,Vienna
2515,Adalberto Lindgren,Nuku'alofa
2516,Valentine Harvey,Honiara
2517,Ariane Marks,Doha
2518,Elliott Kunze,Addis Ababa
2519,Maurice Jaskolski,Conakry
2520,Lonnie Jaskolski,Port-of-Spain
2521,Ileana Kshlerin,Nuku'alofa
2522,Issac Kris,Tarawa Atoll
2523,Patrick Okuneva,Tarawa Atoll
2524,Jimmy Robel,Tokyo
2525,Stacey Sporer,Vatican City
2526,Jordon Bartoletti,Lome
2527,Neely Kub,Antananarivo
2528,Porsha Lubowitz,Singapore
2529,Stefania Hyatt,Kingston
2530,Aron Kreiger,Hanoi
2531,Vince Murazik,Sofia
2532,Lucile Watsica,Juba
2533,Terina Daniel,Bamako
2534,Tobias Purdy,Windhoek
2535,Milly Stroman,Accra
2536,Alphonso Ferry,Beirut
2537,Marin Larson,Saint George's
2538,Renato Ebert,Kyiv
2539,Rebekah Stokes,Jerusalem
2540,Jacquiline Johnston,Valletta
2541,Ryan Bednar,Montevideo
2542,Jerlene O'Kon,Melekeok
2543,Yvonne Bogan,Athens
2544,Toby Denesik,Tripoli
2545,Kendall Little,Bratislava
2546,Keisha Nader,Dili
2547,Jewel Lindgren,Juba
2548,Zaida Mertz,Managua
2549,Casey Wolff,Majuro
2550,Leonida Rowe,Kampala
2551,Gretta Keeling,Malabo
2552,Brinda Keeling,Dili
2553,Mignon Luettgen,Libreville
2554,Haydee Huel,Belgrade
2555,Danette Schamberger,Prague
2556,Lester Bednar,Sarajevo
2557,Lucile Labadie,Khartoum
2558,Reda Berge,Asuncion
2559,Darron Mertz,Colombo
2560,Mireya Marks,Manila
2561,Joel Lind,Bratislava
2562,Lesley Kuhlman,Thimphu
2563,Tyron Terry,Jerusalem
2564,Sheridan Prohaska,Bishkek
2565,Gearldine DuBuque,Asuncion
2566,Floyd Kohler,Banjul
2567,Oswaldo Gutmann,Asmara
2568,Bradly Emard,Beijing
2569,Isobel Farrell,Majuro
2570,Estella Heller,Skopje
2571,Karlene Prohaska,Buenos Aires
2572,Freddy Hane,Bogota
2573,Eryn Powlowski,Tehran
2574,Flavia Hirthe,Mogadishu
2575,Travis Legros,Sofia
2576,Velvet Stehr,Washington D.C.
2577,Tad Frami,Bern
2578,Tanner Beier,Mexico City
2579,Dewey O'Connell,Yaounde
2580,Tegan Feil,Saint George's
2581,Stephan Sporer,Vienna
2582,Edwardo Hammes,Windhoek
2583,Kimberlie Sanford,Ulaanbaatar
2584,Lawana O'Keefe,Valletta
2585,Laree Walker,Gaborone
2586,Robert Lynch,Rome
2587,Brinda Olson,Pristina
2588,Blake Kirlin,Ouagadougou
2589,Jacques Mante,Nairobi
2590,Eusebia Daniel,Castries
2591,Karl Abernathy,Melekeok
2592,Eva Leannon,Tehran
2593,Debbra Stracke,Montevideo
2594,Shaneka Gutmann,Havana
2595,Avis Russel,Podgorica
2596,Max Hudson,Bern
2597,Ardith Towne,Washington D.C.
2598,Blair Armstrong,Budapest
2599,Yoshie Cormier,Dar es Salaam
2600,Zula Jast,Valletta
2601,Kenyetta Maggio,Andorra la Vella
2602,Irina Kris,Bucharest
2603,Foster Mueller,Montevideo
2604,Reginald O'Hara,Nassau
2605,Nadia Conn,Taipei
2606,Andrea Hodkiewicz,Hanoi
2607,Jerome Von,Palikir
2608,Sunshine Jacobi,Vientiane
2609,Maris Hauck,Addis Ababa
2610,Claudio Beahan,Rabat
2611,Loan Schultz,Dakar
2612,Ettie Pacocha,Bridgetown
2613,Sol Legros,Santiago
2614,Many Schowalter,Tehran
2615,Lenny Hammes,Kathmandu
2616,Stacey Cassin,Majuro
2617,Ava Terry,Wellington
2618,Geneva Johnson,Malabo
2619,Sherryl Borer,Podgorica
2620,Dorsey Rolfson,Tokyo
2621,Lane Lynch,Bridgetown
2622,Larita Yost,Warsaw
2623,Brianne Rolfson,Hanoi
2624,Darlene Flatley,Nicosia
2625,Janna Gutkowski,Apia
2626,Denny Boehm,Freetown
2627,Maryanne Lueilwitz,Kingston
2628,Elmer Davis,Zagreb
2629,Joey Conroy,Ashgabat
2630,Al Schumm,Beijing
2631,Yong Reinger,Quito
2632,Ronald Heidenreich,Manama
2633,Logan Wyman,Helsinki
2634,Rudolf Zemlak,Dhaka
2635,Kemberly Schoen,Panama City
2636,Erich Monahan,Bissau
2637,Lakenya Haag,Basseterre
2638,Virginia Toy,Freetown
2639,Bryce Satterfield,Beirut
2640,Jackie Lindgren,Podgorica
2641,Clint Hilpert,Gaborone
2642,Romeo Erdman,Brasilia
2643,Rebekah Lebsack,Sao Tome
2644,Tawana VonRueden,Niamey
2645,Jami Flatley,Tripoli
2646,Cordell Shields,London
2647,Caroline Muller,Phnom Penh
2648,Christopher Skiles,Copenhagen
2649,Winford Runte,Nairobi
2650,Dennis Cruickshank,Rome
2651,Sandi Douglas,Kingston
2652,Brant Davis,San Marino
2653,Sean Kemmer,Andorra la Vella
2654,Xavier McClure,Kathmandu
2655,Theodore Homenick,Nuku'alofa
2656,Carey Upton,San Marino
2657,Marvis Jakubowski,Minsk
2658,Mason Bashirian,Dakar
2659,Kyla Bradtke,Beirut
2660,Darrel Larson,Sofia
2661,Niki Hoppe,Bratislava
2662,Marcos Beer,Port Louis
2663,Shelby Adams,Sarajevo
2664,Lyla Windler,Prince
2665,Jennie Murazik,Basseterre
2666,Debroah Botsford,Lima
2667,Anderson Wisoky,Phnom Penh
2668,Tony Cormier,Algiers
2669,Jed Wyman,Suva
2670,Chaya Stokes,Montevideo
2671,Waldo Sawayn,Maseru
2672,Nelly Terry,Port-of-Spain
2673,Mitchel Dooley,Beijing
2674,Jermaine Pollich,Addis Ababa
2675,Robby Jones,Hanoi
2676,Soo Wilderman,Tunis
2677,Lizzette Gleichner,Roseau
2678,Dagny Schoen,Tegucigalpa
2679,Cassie Dickinson,Andorra la Vella
2680,Benjamin Ullrich,Kampala
2681,German Funk,Ankara
2682,Tory Kessler,Warsaw
2683,Venice Crona,Bridgetown
2684,Rina Gerhold,Algiers
2685,Jenine Ritchie,Yerevan
2686,Isaiah Walter,Madrid
2687,Bruce Lubowitz,Podgorica
2688,Marcie Stanton,Bandar Seri Begawan
2689,Brian Mertz,Kuala Lumpur
2690,Gerald Spencer,Georgetown
2691,Sonny Macejkovic,Lome
2692,Susie Lemke,Budapest
2693,Peggie Ritchie,Melekeok
2694,Jeffry Bergstrom,Bujumbura
2695,Hilary Becker,Sofia
2696,Woodrow Hansen,Melekeok
2697,Shaneka Lockman,Maseru
2698,Roosevelt Hauck,Melekeok
2699,Timothy Schiller,Paris
2700,Lesley Herzog,Berlin
2701,Modesta Batz,Monaco
2702,Avis Dietrich,Monaco
2703,Cyril Zulauf,Vienna
2704,Erma Windler,Dushanbe
2705,Earle Haley,Podgorica
2706,Aide Welch,Addis Ababa
2707,Olin Abernathy,Tbilisi
2708,Juan Spinka,Zagreb
2709,August Kessler,Yerevan
2710,Gena Witting,Amman
2711,Mauricio Carter,Quito
2712,Vernice Smitham,Kingston
2713,Randall Marquardt,Guatemala City
2714,Jamie Keeling,Bern
2715,Tomas Welch,Nouakchott
2716,Chance Emmerich,Taipei
2717,Antonina Will,Dublin
2718,Kecia Tromp,Vaduz
2719,Noah Lueilwitz,Monaco
2720,Garrett Quigley,Asuncion
2721,Beverly Willms,Port-Vila
2722,Graig Schumm,Podgorica
2723,Angelia Heathcote,Nassau
2724,Rachal Kohler,Castries
2725,Felicitas Emard,Algiers
2726,Chara Berge,Sao Tome
2727,Julian Brekke,Bamako
2728,Melida Doyle,Andorra la Vella
2729,Oliver Kunde,Colombo
2730,Isabel Tremblay,Islamabad
2731,Phillip Klein,Brazzaville
2732,Korey Hodkiewicz,Male
2733,Sanford Luettgen,Kuwait City
2734,Leo O'Connell,Vienna
2735,Cliff Oberbrunner,Addis Ababa
2736,Viki Turner,Brazzaville
2737,Santo Fay,Port Moresby
2738,Dean Berge,Vaiaku village
2739,Jon Crona,Lusaka
2740,Claudie Lehner,Athens
2741,Carolina Lang,Beirut
2742,Alina Nicolas,Melekeok
2743,Lenny Buckridge,Gaborone
2744,Jolynn Medhurst,Apia
2745,Brianne Hudson,Melekeok
2746,Florentino Braun,Mbabane
2747,Lina Collier,Singapore
2748,Bret Romaguera,Damascus
2749,Lorilee Wiza,New Delhi
2750,Edmundo Effertz,Cairo
2751,Phil Langosh,Honiara
2752,Dane Simonis,Majuro
2753,Oleta Hintz,Abuja
2754,Alfred Rohan,Andorra la Vella
2755,Rhoda Collins,Freetown
2756,Salvatore Huel,Skopje
2757,Noreen Hand,Lusaka
2758,Abraham Thompson,Wellington
2759,Casey Braun,Algiers
2760,Eduardo Murphy,Manila
2761,Antione Rutherford,Dakar
2762,Kimberley Huels,Basseterre
2763,Sherise Lynch,Damascus
2764,Hoyt Collier,Tirana
2765,Sung Hartmann,Moscow
2766,Loren Hessel,Luanda
2767,Joyce Hermiston,Tegucigalpa
2768,Wade Little,Accra
2769,Royce Hills,Djibouti
2770,Chad Kulas,Pyongyang
2771,Senaida Gleichner,Brussels
2772,Lee Kunze,Saint John's
2773,Clifton Cummings,Freetown
2774,Rudy Graham,Tallinn
2775,Evangeline Howe,Bissau
2776,Roy Daniel,Montevideo
2777,Kelvin Bartoletti,Montevideo
2778,Cecil Lowe,Quito
2779,Hal Schamberger,Manila
2780,Billy Gusikowski,Doha
2781,Jame Grady,London
2782,Fernando Leffler,Abuja
2783,Rico Beer,Moroni
2784,Carrol Schmitt,Washington D.C.
2785,Chanell Dare,Thimphu
2786,Kenna Ruecker,Sarajevo
2787,Kasi Swaniawski,Ljubljana
2788,Luanne Effertz,Maputo
2789,Brady Bergstrom,Copenhagen
2790,Max Ernser,Vaiaku village
2791,Gudrun Schoen,Vaduz
2792,Ehtel Leuschke,Windhoek
2793,Tora Marks,Vatican City
2794,Mirella Roob,Dushanbe
2795,Millard Huels,Astana
2796,Seth Bechtelar,Nuku'alofa
2797,Jeanne Blanda,Yerevan
2798,Reva Goyette,Paris
2799,Nathanael Walker,Port Louis
2800,Aja Smith,Vientiane
2801,Nohemi Goyette,Yerevan
2802,Will Grimes,Freetown
2803,Tobi O'Reilly,Nairobi
2804,Clayton Fadel,London
2805,Latina Mills,Juba
2806,Farah Gleichner,Praia Bangui
2807,Regan Willms,Lisbon
2808,Martin Beatty,Islamabad
2809,Armand Heaney,Rome
2810,Jonelle Schroeder,Riyadh
2811,Alesha Gusikowski,Djibouti
2812,Daryl Balistreri,Sanaa
2813,Jamel Predovic,Roseau
2814,Rolando Champlin,Saint George's
2815,Brady Nicolas,Pyongyang
2816,Kenia Ruecker,Lome
2817,Veta Kshlerin,Berlin
2818,Liberty O'Hara,Mexico City
2819,Alonzo McKenzie,Athens
2820,Kasie Wyman,Pristina
2821,Alfredo Mante,Brazzaville
2822,Edwin Sanford,Monrovia
2823,Carlyn Barrows,Copenhagen
2824,Aubrey Gislason,Yaounde
2825,Tawana Stehr,Copenhagen
2826,Noe Bednar,Kathmandu
2827,Christena Parisian,Reykjavik
2828,Pia Kassulke,Windhoek
2829,Tiffani Ratke,Juba
2830,Manda Will,Kyiv
2831,Milissa Harris,Prince
2832,Karon McDermott,Yerevan
2833,Portia Feeney,Suva
2834,Barry Hermiston,Prague
2835,Florentino Hauck,Bandar Seri Begawan
2836,Louis Macejkovic,Madrid
2837,Marcel Bode,Dushanbe
2838,Eliseo Stanton,Ouagadougou
2839,Kathleen Daniel,Manama
2840,Adria Aufderhar,Ankara
2841,Nadene Kassulke,Ulaanbaatar
2842,Oren Little,Tehran
2843,Tamra Sporer,Port-Vila
2844,Keitha Aufderhar,Buenos Aires
2845,Eusebia O'Hara,Nouakchott
2846,Tona Bradtke,Riga
2847,Van Von,Bujumbura
2848,Britt Marvin,Ankara
2849,Mariel Ruecker,Vatican City
2850,Winona Bauch,Berlin
2851,Jordon Friesen,Sofia
2852,Fredric Satterfield,Phnom Penh
2853,Shirlee Runte,Bishkek
2854,Gail Padberg,Basseterre
2855,Esmeralda Reilly,Riga
2856,Moshe Dibbert,Nairobi
2857,Kenna Kihn,Riga
2858,Leana Schmidt,Manila
2859,Hosea Rolfson,Kingstown
2860,Ewa Stark,Vientiane
2861,Laura Schoen,Freetown
2862,Wilbert Stiedemann,Seoul
2863,Emil Cartwright,Phnom Penh
2864,Ghislaine Frami,Beijing
2865,Isabella Thiel,Kingston
2866,Percy Heaney,Djibouti
2867,Alvaro Hintz,Conakry
2868,Margy Bruen,San Marino
2869,Shirley Schinner,Rome
2870,Takisha Tromp,Doha
2871,Chin Botsford,Port Louis
2872,Berenice Langworth,Tunis
2873,Yessenia Ledner,Dhaka
2874,Richard Tillman,Suva
2875,Edmundo Morissette,Abu Dhabi
2876,Janeen Willms,Port Moresby
2877,Annabell Upton,Sanaa
2878,Ralph Volkman,Pristina
2879,Garland Brown,Kingston
2880,Walton Monahan,Yaounde
2881,Barrett Nienow,Lusaka
2882,Samella Kessler,Bern
2883,Ludie Greenholt,Kampala
2884,Tabitha Klocko,Praia Bangui
2885,Darrel Schneider,Zagreb
2886,Buford Hickle,Melekeok
2887,Vallie Weber,Vientiane
2888,Irvin Rath,Luxembourg
2889,Blythe Gottlieb,Santiago
2890,Lemuel Hyatt,Guatemala City
2891,Jaclyn Lubowitz,Sofia
2892,Kelsi Lakin,Copenhagen
2893,Greg Bins,N'Djamena
2894,Mi Beer,Paramaribo
2895,Gussie Vandervort,Dakar
2896,Marx Konopelski,Manila
2897,Allie Lockman,Brazzaville
2898,Ismael Zieme,Yaounde
2899,Margherita Braun,Niamey
2900,Jeannie Parisian,Berlin
2901,Romaine Funk,Chisinau
2902,Rosina Ebert,Lilongwe
2903,Vito Volkman,Nairobi
2904,Angelita Weber,Reykjavik
2905,Melania Frami,Rome
2906,Aubrey Legros,Lome
2907,Anderson Olson,Dakar
2908,Grady Wiza,Palikir
2909,Bryce Kautzer,London
2910,Gail Mosciski,Honiara
2911,Gia Hand,Bujumbura
2912,Miquel Dooley,Lima
2913,Sean Howe,Manama
2914,Fidel Kuvalis,Astana
2915,Hubert Koepp,Madrid
2916,Trinh Kling,Conakry
2917,Lidia Romaguera,Bishkek
2918,Bobbi Crona,Mogadishu
2919,Howard Borer,Conakry
2920,Mee Grimes,Dhaka
2921,Emilio Hauck,Skopje
2922,Glenn Schoen,Rabat
2923,Sang Nitzsche,Georgetown
2924,Kelly Rosenbaum,Manila
2925,Reiko MacGyver,Tehran
2926,Johnson Rice,Saint John's
2927,Dillon Kessler,Castries
